id,name,email,date_of_birth,signup_date,subscription_status
1,John Doe,john.doe@example.com,1985-01-15,2020-11-01,active
2,Jane Smith,jane.smith@example.com,1990-05-22,2019-06-17,active
3,Bob Johnson,bob.johnson@example,1977-03-30,2018-12-12,inactive
4,Alice Brown,alice.brown@example.com,1982-08-09,2021-01-05,active
5,Charlie Black,charlie.black@example.com,1988-11-23,,inactive
6,Cassandra Bonilla,,1990-06-07,2020-06-17,active
7,Alyssa Lee,,1938-09-29,2020-10-18,inactive
8,Hannah Brown,heather75@example.net,1952-08-20,2024-02-16,inactive
9,James Thomas,,2002-06-15,2020-02-10,inactive
10,James Snyder,natalie62example.org,,2021-05-29,active
11,Scott Jones,williamscharlesexample.net,1942-08-20,2023-10-10,active
12,Eric Cook,,1967-07-05,2023-05-24,active
13,Todd Hooper,beckermichaelexample.net,1992-11-09,2023-07-07,inactive
14,Wyatt Maldonado,,1946-02-28,2021-11-06,active
15,,,1984-03-20,2020-02-02,active
16,,sethunderwood@example.org,1954-07-04,2024-01-05,active
17,Nathan Anderson,nicholasellis@example.com,,2022-02-11,active
18,Barbara Watson,wrightlisaexample.net,1966-08-04,2024-02-09,inactive
19,,amandalongexample.com,1996-05-29,2020-05-23,inactive
20,Brian Mendoza,abigaildavis@example.net,1994-07-14,2023-10-25,inactive
21,Thomas Thomas,,1989-07-04,2022-12-10,inactive
22,Jane Ballard,thomaslaura@example.org,2003-10-04,2022-01-19,inactive
23,,daltonthomas@example.com,1939-07-21,2021-09-04,active
24,Brittany Dean,,1973-05-20,2021-11-02,active
25,Haley Harris,qkramer@example.org,1991-07-12,2021-06-09,inactive
26,Bruce Lane,,2000-04-25,2023-01-23,inactive
27,Eric Huffman,,1948-04-04,2021-08-07,inactive
28,,abigailparksexample.net,1958-09-05,2022-03-10,inactive
29,Cheryl Durham,glassshawn@example.com,1949-04-25,2021-06-11,active
30,David Gonzalez,fordlaurenexample.net,1934-06-25,2021-02-21,inactive
31,Jenna Hernandez,ebarrexample.com,,2020-08-04,inactive
32,Jill Castaneda,imorrison@example.org,1950-07-31,2023-06-04,inactive
33,James Lopez,efaulkner@example.com,1989-08-26,2022-03-05,inactive
34,Jeffrey Hunter,wburns@example.org,,2021-08-22,inactive
35,,blawrence@example.net,1969-02-04,2020-07-20,inactive
36,Johnny Sanders,timothy87example.net,1948-06-24,2023-08-21,active
37,Ashley Williams,stacey05@example.net,1970-09-08,2022-08-30,active
38,Laura Carr,,1956-06-17,2022-05-22,active
39,,emurphy@example.net,1979-08-23,2021-01-06,inactive
40,Tracey Bowman,bking@example.net,1951-11-14,2022-05-29,active
41,,ginadavenport@example.net,1950-08-18,2020-12-21,active
42,,williamsmadisonexample.org,1939-01-19,2021-07-29,active
43,Curtis Oneal,,,2021-10-10,active
44,,tbaileyexample.net,1990-01-04,2021-09-14,active
45,Scott Miller,diane87@example.net,1983-04-23,2023-06-10,inactive
46,,,2005-09-05,2021-07-08,active
47,Ashley Bridges,thomasfloresexample.com,,2020-03-23,active
48,Robert Hernandez,,1965-11-25,2021-04-03,active
49,Nathan Schwartz,robertsontina@example.org,,2023-05-24,active
50,Michelle Monroe,michaelhuerta@example.org,1969-06-02,2024-04-27,active
51,Mckenzie Martinez,yangnatalieexample.net,1969-11-30,2020-01-08,inactive
52,,ortizcarl@example.net,2000-04-29,2022-09-30,active
53,Melissa Edwards,janiceroberson@example.org,,2023-06-25,inactive
54,Daniel Jennings,jonathanrosalesexample.net,,2022-12-23,active
55,Jean Graham,,1937-02-23,2020-08-08,active
56,,jared77@example.net,1991-07-10,2020-06-09,inactive
57,John Davis,rmartinezexample.org,1998-04-04,2020-03-01,active
58,,michael52@example.net,1968-12-23,2024-01-29,inactive
59,Randy Higgins,bthomas@example.com,1961-09-19,2024-01-01,active
60,,tchambers@example.net,1978-02-27,2022-10-26,inactive
61,Neil Smith,huntermollyexample.com,1942-12-03,2024-05-09,inactive
62,,,1971-09-29,2022-09-02,active
63,Leah Wilson,,1936-06-13,2021-05-25,inactive
64,David Hunt,,,2020-08-11,inactive
65,Mrs. Chelsey Smith DDS,,1938-11-02,2020-06-28,active
66,,roweconnie@example.com,,2021-04-16,active
67,Mary Simon,arthur73example.net,1996-11-24,2023-12-31,active
68,Gregory Allen,jacklawsonexample.com,,2023-05-21,active
69,Stacey Johnson,,1958-09-30,2022-01-12,inactive
70,Yvonne Hernandez,chanamber@example.com,,2021-10-02,active
71,Kara Oneal,,1986-04-06,2021-11-10,active
72,Daniel Jones,dwaynevargasexample.net,2001-11-18,2020-03-21,inactive
73,Theresa Smith,isnyder@example.com,1936-07-19,2024-03-23,inactive
74,,,,2020-02-26,inactive
75,Rebecca Mendoza,scott65example.net,1980-08-04,2022-12-20,inactive
76,Richard Garcia,eileen83example.net,,2020-07-11,active
77,Christopher Carey,ellisonjessica@example.com,1936-10-01,2022-07-05,active
78,Michael Adkins,andreasimonexample.net,1982-07-19,2024-04-14,active
79,Derrick Ruiz,connie38@example.org,,2023-08-07,inactive
80,Connie Medina,qoliverexample.net,,2023-02-25,active
81,Monica Romero,,1974-10-16,2024-03-18,active
82,Darlene Young,emily24@example.com,,2022-06-30,active
83,Zachary Johnson,ashleywhite@example.com,1982-02-24,2023-05-16,active
84,,tandersonexample.net,1936-11-03,2021-02-01,active
85,John Cantrell,laurengill@example.net,1983-10-08,2023-03-07,inactive
86,Joshua Torres,vsantosexample.com,1976-09-14,2020-03-06,active
87,Shannon Carter,kgrayexample.net,2002-09-06,2021-03-06,active
88,Allison Long,boyerkatherine@example.net,1996-05-30,2023-07-31,active
89,Marc Garner,cameronblanchard@example.org,1944-10-13,2021-04-26,inactive
90,Kimberly Mcdaniel,,1992-03-04,2021-10-19,inactive
91,Kiara Hicks,,1953-01-19,2021-12-31,inactive
92,Robert Scott,,,2023-02-13,active
93,Janice Garcia,martinezteresa@example.com,1976-03-03,2023-03-19,inactive
94,,castillojosephexample.org,1952-06-25,2023-08-09,active
95,,joan43@example.org,1990-07-19,2020-05-08,active
96,Dakota Mcmahon,wramirez@example.net,1935-02-18,2021-11-08,inactive
97,Valerie Wolf,martinezdavid@example.net,1968-12-05,2022-11-25,inactive
98,,zholloway@example.org,,2020-02-24,active
99,Adrienne Cruz,james60example.net,1951-09-14,2021-04-29,inactive
100,Christopher Kennedy,bryanrodriguez@example.net,,2020-08-28,inactive
101,Tanya Horne,qthompson@example.net,2002-10-30,2022-03-13,inactive
102,Andrea Smith,thomasjasmineexample.net,1955-06-11,2024-03-15,active
103,Angela Doyle,ronaldriversexample.com,1975-04-09,2022-07-20,inactive
104,Alan Hill,janetbrown@example.net,1945-02-21,2020-03-19,active
105,,,1939-01-08,2020-02-19,active
106,Jodi Young,nicholekennedy@example.com,1963-06-11,2020-09-27,active
107,,gutierrezraymondexample.net,1986-07-31,2021-08-22,active
108,Margaret Smith,sheltonjason@example.net,1954-12-05,2020-06-02,active
109,Abigail Garcia,stephanieclark@example.net,1977-08-09,2023-08-16,active
110,Jessica Bullock,austinbellexample.com,1989-11-21,2021-09-22,inactive
111,,,,2020-08-25,active
112,,sjacobsexample.org,1999-08-24,2022-10-17,inactive
113,,,,2020-07-31,active
114,,,1936-07-21,2020-02-23,inactive
115,Brandon Williams,christy49@example.net,1987-01-30,2021-10-16,inactive
116,Anna Small,,1970-08-23,2023-07-27,inactive
117,Kristen Guzman,jacquelineromeroexample.org,1982-01-26,2020-01-10,inactive
118,Jody Gilmore,jenniferharrisexample.net,1940-05-27,2023-01-17,inactive
119,Mr. Austin Brown DDS,egonzalezexample.org,,2020-09-06,active
120,Donald Harrison,amandaweberexample.net,,2022-11-17,inactive
121,Linda Nichols,katherine15@example.net,1946-04-26,2022-09-14,inactive
122,Michael Davis,ruizwilliamexample.com,1994-03-25,2024-04-02,active
123,Cathy Robinson,,1963-09-02,2022-04-12,inactive
124,,bonnieboyerexample.com,1976-09-05,2023-07-30,active
125,,brenda27@example.com,,2020-03-26,inactive
126,Christine Stevenson,,,2020-10-19,active
127,John Smith,mariaharper@example.com,1959-09-30,2022-06-12,active
128,David Owens,susan50example.org,1940-02-25,2020-09-07,inactive
129,William Hahn,,,2023-03-31,inactive
130,Donna Mueller,lucerojames@example.net,,2024-04-08,inactive
131,Megan Shah,,1978-10-31,2023-09-20,active
132,Micheal Oneal,bradley75example.org,,2022-08-29,inactive
133,Kristi Gray,janicejordanexample.com,1979-02-28,2021-07-10,inactive
134,Nathan Ellis,claudiaedwardsexample.net,,2023-12-24,active
135,Donald Howard,petersanneexample.net,,2021-09-03,inactive
136,Lori Key,grayjennifer@example.net,1983-09-20,2023-03-13,active
137,,,2003-03-31,2021-05-15,active
138,Pamela Kline,,1972-06-29,2020-06-11,inactive
139,Terri Stephens,,1963-01-02,2023-08-20,inactive
140,Elizabeth Kaufman,,1989-04-03,2023-12-28,active
141,Katelyn Steele,,1998-04-30,2021-07-09,inactive
142,,moniquemooneyexample.com,1993-02-26,2020-04-26,active
143,Andrew Jensen,mcdowellheidiexample.org,1960-08-26,2024-03-23,inactive
144,,,1984-01-12,2020-01-23,active
145,Traci Blankenship,,1970-02-01,2023-08-30,active
146,Kenneth Greene,jhays@example.net,1982-06-26,2023-09-14,inactive
147,Chelsey Stanley,,1939-12-09,2020-09-30,inactive
148,,joshuamaciasexample.com,1948-02-25,2022-01-30,inactive
149,,,1992-04-17,2022-06-19,inactive
150,Mark Gonzalez,brian62example.com,1970-11-09,2021-11-25,active
151,Anthony Blair,,2005-03-19,2023-04-05,inactive
152,,,1970-06-18,2022-10-14,inactive
153,,leemarkexample.net,1979-06-13,2023-08-28,active
154,Erin Parker,phillipellisexample.org,1972-01-01,2024-02-09,active
155,Daniel Johnston,dholt@example.org,1978-07-05,2021-10-10,active
156,John Martin,ojohnsonexample.org,1968-10-30,2020-03-14,active
157,Mary Herrera,morganhallexample.com,,2021-07-05,inactive
158,Dean Adams,,,2021-11-16,inactive
159,Cameron Kelly,jcrossexample.net,1935-05-26,2024-05-20,active
160,Erika Thomas,kfox@example.org,1945-11-04,2023-11-17,inactive
161,Christopher Esparza,hwood@example.net,1939-10-01,2021-06-22,active
162,Kathleen Leon,contrerasaustin@example.com,1994-06-20,2024-04-08,inactive
163,Anthony Williams,sarahevansexample.org,1940-07-16,2022-10-03,inactive
164,,davidrichardson@example.org,1968-12-05,2024-03-30,active
165,Lynn Lewis,holly22example.net,1963-11-09,2021-05-15,inactive
166,Veronica Williams,,,2022-11-22,active
167,Jeffrey Reeves,,2004-11-26,2020-04-13,active
168,Patrick Mason,franklinkatherineexample.com,1985-11-11,2022-04-14,active
169,Helen Mcguire,danamarquezexample.com,1978-07-25,2021-08-10,active
170,Erik Bell,breed@example.org,2004-09-04,2022-02-17,inactive
171,Craig Andrade,danielhanson@example.net,1965-02-19,2020-01-11,active
172,Jennifer Pope,jamesvelez@example.org,1973-10-07,2023-10-10,inactive
173,Anthony Good,toddcookexample.net,1972-07-31,2020-07-17,active
174,Natalie Tran,fpetersonexample.org,,2024-04-26,active
175,Sean Perez,jefflopezexample.com,1997-09-11,2022-05-31,active
176,Paige Perez,,1971-05-20,2021-08-30,active
177,Dana Howard,amanda49@example.com,1970-11-26,2021-05-13,inactive
178,Mr. Brian Mejia,,,2022-01-25,active
179,Bruce Green,roy03@example.org,1975-11-01,2020-04-02,active
180,Alejandra Bennett,,,2022-01-23,active
